广州

不锈钢 0  供应压力显著，价格存在回调压力
生猪 1  4月16日生猪继续回落，LH2409合约报收拾17665元/吨，收涨-2.19%。昨日全国现货稳中偏弱，主流出栏价15.09元/公斤，环比上涨-0.08元/公斤。基本面看，能繁存量环比持续下降，2月份为4042万头，市场普遍看好下半年行情。虽然4月份集团计划出栏量增加，当前处于季节性消费淡季，库存亦处于高位，但二育先行带来阶段性反弹行情，09合约建议回调企稳再入场多单。图片图片阅读10国都期货?写下你的留言人划线
铁矿 0  4月16日，铁矿石主力I2409合约震荡走低，收于826.0元/吨，涨跌幅-1.49%，成交56.62万手。夜盘收于837.0元/吨。16日铁矿现货（青岛港61.5%PB粉）844元/吨，基差7元/吨。全国主港铁矿石成交92.30万吨，环比减11.2%；237家主流贸易商建筑钢材成交14.58万吨，环比减12.8%。本周中国47港到港总量2663.6万吨，环比增加81.6万吨；澳洲巴西铁矿发运总量1919.4万吨，环比减少774.7万吨。消息面上，淡水河谷一季度铁矿石产量7083.7万吨，环比减少20.8%，同比增加6.1%。维持全年铁矿石产量指引在3.1亿-3.2亿吨不变。本周日均铁水产量继续回升，钢厂刚需补库需求增加；贸易商方面，市场情绪好转，贸易商投机增加，买卖活跃度随之提高。预计各种“以旧换新”政策能快速激发消费需求，房地产和制造业都将受益。操作上，09合约近期阶段性持续反弹，短期偏多对待，多单继续持有，中期或有反复，上方压力位860附近。
螺纹 1  4月16日，螺纹钢主力合约RB2410震荡整理，收于3608元/吨，涨跌幅-0.08%，成交193.2万手。夜盘收于3615元/吨。16日螺纹现货（上海HRB400E，20）报3590元/吨，基差-25元/吨。上周五大钢材品种供应856.2万吨，周环比降9.01万吨，降幅为1%；五大钢材总库存2133.17万吨，周环比降108.02万吨，降幅为4.8%；五大品种周消费量为964.22万吨，降幅为0.99%；其中建材消费环比增2.9%，板材消费环比降2.1%。据国家统计局初步核算，一季度国内生产总值296299亿元，按不变价格计算，同比增长5.3%，环比增长1.6%。基本面看，五大钢材供需双减、总库存继续减少。高炉检修致使钢材产量减少，螺纹、热卷供给偏紧。随着地产边际改善，各地方项目进度加快，螺纹需求有望回暖。主力RB2410合约3400附近反复筑底，4月迎来反弹行情，多单继续持有。
豆粕 0  4月16日豆粕偏强运行，夜盘盘中又快速回落，盘面波动剧烈。隔夜外盘美豆收盘下跌，主力07合约报收1160.25美分/蒲，收涨-1.02%。美国大豆已进入种植阶段，目前产区天气正常，播种进度与去年同期持平，暂未看到天气炒作机会，不过进入天气市阶段后，预计CBOT大豆前低1130附近支撑坚挺。国内4月份开始预计进口大豆到港量较大，到港进度正常情况下，现货基差或承压偏弱运行，短期盘面波动剧烈，但产区天气正常下，预计仍维持震荡。
菜粕 0  4月16日豆粕偏强运行，夜盘盘中又快速回落，盘面波动剧烈。隔夜外盘美豆收盘下跌，主力07合约报收1160.25美分/蒲，收涨-1.02%。美国大豆已进入种植阶段，目前产区天气正常，播种进度与去年同期持平，暂未看到天气炒作机会，不过进入天气市阶段后，预计CBOT大豆前低1130附近支撑坚挺。国内4月份开始预计进口大豆到港量较大，到港进度正常情况下，现货基差或承压偏弱运行，短期盘面波动剧烈，但产区天气正常下，预计仍维持震荡。
玉米 1  4月16日玉米小幅收跌，05合约报收2,382元/吨，收涨-0.42%，淀粉主力合约报收2,835元/吨，收涨-0.21%，主力合约淀粉玉米价差435元/吨，较前一日增加-14元/吨。现货方面，全国二等玉米平均价2424.98元/吨，较上一交易日变动-0.51元/吨，对主力合约报升水46.98元/吨。基本面上，今年地趴粮销售进度偏慢，目前东北已售89%，华北售73%，低于去年同期水平，特别是华北地区，较去年同期销售进度慢11%。考虑当前下游及渠道库存处于正常偏低位，以及前低政策底支撑坚挺，预计地趴粮上市阶段，玉米回调但幅度有限，建议远月09合约仍偏多对待。
淀粉 1  4月16日玉米小幅收跌，05合约报收2,382元/吨，收涨-0.42%，淀粉主力合约报收2,835元/吨，收涨-0.21%，主力合约淀粉玉米价差435元/吨，较前一日增加-14元/吨。现货方面，全国二等玉米平均价2424.98元/吨，较上一交易日变动-0.51元/吨，对主力合约报升水46.98元/吨。基本面上，今年地趴粮销售进度偏慢，目前东北已售89%，华北售73%，低于去年同期水平，特别是华北地区，较去年同期销售进度慢11%。考虑当前下游及渠道库存处于正常偏低位，以及前低政策底支撑坚挺，预计地趴粮上市阶段，玉米回调但幅度有限，建议远月09合约仍偏多对待。



中泰

棉花 0  棉花ICE隔夜美棉继续下跌，7月合约报收82.98美分/磅，日跌幅2.64%，因受累于美元走升令棉花价格更为昂贵的拖累，同时原油价格回落影响。消息面，美国农业部(USDA)公布的4月供需报告显示下调全球棉花2023/24年度棉花期末库存至8308万包，美国棉花供需数据未做调整，不过美棉整体期末库存偏低。出口方面显示数据疲软，USDA周度出口报告显示，截至4月4日止当周，美国当前市场年度棉花出口销售净增8.15万包，较之一周略微减少，新销售13.04万包。后期关注北半球棉花种植。技术上偏弱。国内棉市走势较国际棉市抗跌，但也随着美棉价格下挫，内外棉价差显示进口利润大幅度回升，形成进口预期增强，中国农业农村部上调中国2023/24年度棉花进口预估至230万吨，3月预估为200万吨，期末库存上调至732万吨，之前3月预估为702万吨。当前国内棉花供给充足，不过库存已经开始下滑，但现货交投仍未明显放量，棉花销售进度较上年偏慢。下游方面，纱线库存回升，限制棉花采购表现动力。技术上震荡整理态势。逻辑与观点：阶段性供给宽松，外棉大幅回落拖累郑棉走势震荡整理运行。
白糖 -1  白糖隔夜ICE原糖继续下挫，ICE原糖5月合约收盘报19.52美分/磅，日跌幅1.71%，伦敦白糖8月合约收盘报569.7美元/吨，日跌幅1.89%。受累于供给超预期增加影响，一方面北半球印度国产量超预期，主要是降幅不及预期，不过截至4月15日印度累计产糖3102万吨，糖收榨进度加快，已有448家糖厂收榨，去年同期为401家。一方面巴西结束2023/24榨季，2023/24榨季累计生产糖4242.5万吨（unica），同比增长25.7%,。2024/25榨季已经开启，降雨改善产量前景。技术上持续下挫，技术面偏空。国内糖市昨日现货价格下跌，期货糖价格震荡下跌中，郑糖主力仍未跌破前期低点。基本面来看，阶段性国内供给充足，中国糖协公布数据截至3月底全国产糖957.31万吨，同比增加9.8%，销售食糖437.45万吨，同比增加8.23%，产销率49.5%，同比微降，工业库存483.86万吨，同比增加近50万吨，数据略显偏空，显示阶段性供给压力大。通常4月后中国食糖进入纯去库存阶段，也是食糖购销淡季，糖价面临季节性回落压力。另外需随着外盘原糖价格大幅度回落，配额外进口加工糖利润倒挂幅度大幅收缩，打开进口预期可能性增强，拖累糖价回落。进口加工糖利润倒挂幅度大幅收缩，打开进口预期可能性增强，拖累糖价回落。逻辑与观点：阶段性供给充足，季节性购销淡季令糖价承压，跟随外糖波动。
鸡蛋 -1  鸡蛋昨日蛋价整体稳定，根据中泰期货调研整理，截止4月16日粉蛋均价3.08元/斤，红蛋均价3.27元/斤。当前蛋价低于养殖综合成本线，但可以收回当天饲料钱，养殖仍有正现金流，老鸡养殖尚可保本。鸡蛋供需仍宽松，蛋价或维持弱势，难有太大涨幅：供给端压力或继续增加。当前高峰期蛋鸡较为集中，鸡龄“壮年”化，鸡群产蛋效率高。小蛋价格近期偏弱，新开产蛋鸡正在增加。老鸡养殖目前尚可保本，老鸡淘汰环比增加，淘鸡日龄下降，但由于待淘老鸡不多，整体淘鸡量不大。蛋鸡存栏呈增长态势，鸡蛋供应压力或继续增加。消费端，随着气温回升，鸡蛋存储难度增加。南方销区多雨，鸡蛋消费低迷，蛋商拿货积极性不高，产区鸡蛋库存压力加大。后市虽有五一和端午假期提振，消费或有回升，但在高供给压力下，蛋价难有太好表现。逻辑和观点：高峰期蛋鸡占比较大，现货压力暂难缓解，鸡蛋期货近月合约或继续偏弱运行。远月合约主要受预期影响，而预期受现货波动和玉米、豆粕走势双重影响，暂或维持弱势。操作上建议维持对期货近月合约偏空操作。
苹果 -1  苹果期货：主力合约震荡走弱，10合约收7866元/吨，价跌186点，成交放量；山东产区：本周山东产区出库环比加快，出库以小果、果脯果为主，出库速率明显增加，询货客商转移至其他地区寻找货源。本周外贸及小单车询货有所增加，主要货源为1.0-1.5元。调研得知，山东产区3.3及以上货源占比较少，压力不大。当前栖霞市场苹果(纸袋80#一二级条红)成交均价4.00元/斤（数据来源：卓创资讯）。沂源产区价格下跌，询货客商增加。西部产区：清明过后，陕西产区成交环比加快。好货供不应求，成交较快；差货价格有所下跌，走货速率有所提高。洛川市场苹果(纸袋70#以上上不封顶)平均成交价格4.15元/斤（数据来源卓创资讯）；山西产区运城纸加膜价格下跌，走货较快。甘肃产区性价比较高，价格坚挺，成交加快；庆阳产区出库意愿增强，好货较抢手，出库较快。Mysteel数据：截至2024年4月10日，全国主产区苹果冷库库存量为543.42万吨，库存量较上周减少41.04万吨。走货较上周明显加快。卓创资讯：截止到2024年4月11日全国冷库目前存储量约为478.65万吨，去库存率为46.36%，本周期（20240328-0410）冷库共计出库量为73.41万吨。本周期内的单周出货速度高于之前几周，高于去年同期。清明节期间，苹果出库量以及市场销售表现都显得相对平淡，没有达到预期的热度。节日的效应并没有给苹果销售带来显著的提振，这在一定程度上反映了市场需求的不旺盛。随着节日的结束，无论是来自各地的客商还是果农，都逐渐感受到了一种市场的寒意，开始有了明显的危机感。在这种背景下，产区的差货价格开始呈现出下跌的趋势。果农们面对市场的压力，销售意愿明显增强，希望能够尽快将手中的存货出手，减少库存压力。这也导致了节后产区果脯以及差货货源的走货量有所增加，而好货的价格则相对稳定，走货速度也相对较快。与此同时，近期替代水果如耙耙柑的价格出现了大幅增长，沃柑的价格也偏硬，而时令水果的价格普遍较高。这些水果价格的上涨，在一定程度上对苹果的销售形成了压力。然而，如果苹果价格的下跌能够有效传导至下游消费市场，那么这将有助于刺激消费者的购买意愿，从而缓解苹果后期的销售压力。清明节期间苹果出库量、市场销售表现一般。节后不论是客商还是果农有了危机感，产区差货价格下跌，果农销售意愿增强。节后产区果脯及差货货源走货增加，好货价格稳定，走货较快。近期替代水果耙耙柑价格大幅增长，沃柑价格偏硬，时令水果价格较高，苹果价格下跌如果有效传导至下游消费市场，苹果后期压力或得到缓解。需重点持续关注。
红枣 0  红枣昨日，红枣盘面维持弱势，主力合约最高价12645元/吨，最低价12280元/吨，收于12350元/吨。红枣注册仓单数量增加181张至16768张，有效预报数量增加41张至1291张，合计18059张，折合现货90295吨。河北市场现货价格成交小幅上涨，参考一级灰枣均价12.00元/公斤，二级灰枣均价11.00元/公斤，三级灰枣均价10.80元/公斤，广东市场参考一级灰枣均价12.90元/公斤，二级灰枣均价11.80元/公斤，三级灰枣均价11.20元/公斤（数据来源：Mysteel我的农产品）。河北市场大车到货量增加，成交有所好转，客商拿货积极，价格上涨后企稳。随着气温的上升，进入红枣消费淡季，整体仍以按需补货为主，并且仓单仍处于高位，05合约邻近交割，承压较大。不过随着低价货源的消化，后期高价货源逐步成为市场销售主体，成本支撑较强，期价下方空间有限。短期或以震荡为主，重点关注市场拿货情况。
花生 1  花生周二花生盘面继续下挫，主力10合约开盘报价9250元/吨，日内最低跌至9194元/吨，收盘报价9234元/吨。国内花生市场现货报价稳中偏弱，终端需求疲软下市场高价承受能力有限，交易氛围延续清淡，阶段性获利了结令盘面偏弱调整。主力油厂收购较为稳健，部分主力油厂上调收购报价释放积极心态；另外，产区农户出货积极性不高，基层上货量有限仍对盘面价格带来支撑。短期关注持仓结构变化、产区出货情况及油厂收购动态。现货报价：截至4月16日，河南白沙统货报价约9600-10200元/吨，辽宁白沙统货报价约10200-10300元/吨，兴城花育23统货报价约9800-9900元/吨；吉林白沙统货报价约10000-10300元/吨；北方港口苏丹精米报价约9400-9500元/吨；塞内加尔油料米报价8750-8850元/吨，南方港口塞内加尔73精米报价9000-9100元/吨。（数据来源：我的农产品网、中国花生网、同花顺）观点与建议：基层上货量有限外加主力油厂入市收购提振期现价格，短期惜售看涨情绪令盘面呈现偏强震荡走势；但终端需求表现不佳也是事实，市场在适量补库后对高价多持谨慎态度，价格持续上涨缺乏成交量配合，持续关注基层出货心态及主力油厂实际收购成交情况。
生猪 0  生猪现货价格弱势震荡。2024年4月16日全国标猪均价为15.14元/公斤，较前日下跌0.04元/公斤。需求方面，目前尚处于猪肉需求淡季，需求端对毛猪价格支撑较弱。据钢联数据显示，当前终端市场白条批发量明显低于去年同期，反映下游猪肉消费疲软。另外，当前毛白价差走低，屠宰端亏损严重，市场整体屠宰开工率偏低，屠宰停宰现象屡见不鲜，屠宰端压价情绪较浓。供应方面，市场出栏均重进一步上涨，涌益样本生猪出栏均重已超过126公斤，反映市场存在一定压栏现象。同时，近期市场标肥价差快速收敛，北方大部地区肥猪价格已经低于标猪，且随着天气渐热，肥猪压栏增重优势正在趋弱，这导致市场肥猪出栏积极性增加，对现货价格形成压力。目前市场对现货价格走势的分歧较大，主要争论点在去年疫情影响和近期压栏力量哪个更强。多空双方均需重点关注4月中下旬现货价格走势：在肥猪出栏增加的大背景下，如果后续现货价格大跌，则说明去年4季度疫情影响相对有限；如果现货价格坚挺甚至出现明显上涨，说明去年疫情影响严重，后续肥猪出栏高峰后，现货价格有望继续上涨。策略方面，多空分歧明显，建议短期观望。高度关注后续现货价格走势给出的方向指引。
塑料 1  塑料聚烯烃现货价格震荡，市场实际成交情况一般。华北地区聚丙烯拉丝市场低端价格7470元/吨，较前日价格涨10元/吨，华北PP基差报价05-70附近，震荡；华东地区聚丙烯拉丝市场低端价格7550元/吨，较前日价格涨30元/吨，华东PP基差报价05+10，震荡。（数据来源：隆众资讯）华北丙烯单体6900元/吨，较前日价格稳定，华北市场粉料价格7250元/吨，较前日价格降10元/吨，华东丙烯6900元/吨，较前日价格涨50元/吨，华东粉料7300元/吨，较前日价格稳定。（数据来源：隆众资讯）华北市场聚乙烯现货价格8350元/吨左右，较前日价格涨50元/吨，华北LL基差05-10，震荡；华东聚乙烯现货市场价格8330元/吨，较前日价格涨80元/吨，华东LL基差05-30，震荡。（数据来源：隆众资讯）今日聚烯烃盘面波动较大，LL强，PP弱，市场成交转差。今日月间价差震荡，仍远月强于近月强于现货的价差结构，市场对远月价格预期有所改善，但近月仍有压力。下游需求目前还是不好的，供应除了上游装置检修以外没有意外减量，供需端没有太大的变量。价格反弹后，下游接受程度一般，后期要看聚烯烃产业库存会不会累积。我们认为目前PE比较强的逻辑主要是检修以及5月前投产少，短期偏强但上涨驱动能否持续仍有待观察。大涨仍需要有成本端的推动，需要关注中东地缘问题对原油价格的影响，国内煤炭整体仍然偏弱或许会拖累PE价格。PP目前相对偏弱，成本端受原油影响小于PE且今年国内装置投产增速大于PE，建议对PP偏弱对待。我们建议谨慎对待，盘面反弹或许会给出较好的套保机会，产业客户可以对库存考虑适量进行套保。套利策略可考虑LL-PP做扩大，PP-3MA做缩小。期权策略可考虑卖出短期PP虚值看涨策略。
橡胶 0  橡胶据隆众资讯数据：泰国产区原料白片81.69泰铢，烟片83.88泰铢，胶水73.5泰铢，杯胶55.95泰铢，泰国公共假期休市。周一，国内市场现货价格下跌，华东全乳胶在13600元/吨左右，泰标混合报盘13300元/吨左右。周二，沪胶日内下跌，主力盘中缩量并在40日线附近获得支撑，期货延续震荡偏弱走势。目前橡胶基本面变动不大，国内外产区处于淡产季，但高价原料提升产区增产预期，青岛深色胶处于高位缓慢去库状态，国内下游轮胎厂短期订单充足，下游整体需求表现较好，沪胶基本面虽然好于去年同期，但沪胶当前价格已经充分反映，沪胶基本面相对平稳，短期震荡，但继续向下空间不大，操作上建议保持谨慎。逻辑：国内外产区处于淡产季但有增产预期，下游需求较好，期货低位震荡为主。
甲醇 0.5  甲醇甲醇现货价格略微走弱，港口现货市场价格走弱，今日港口基差震荡，内地市场价格小涨，西北市场价格小涨。江苏太仓地区甲醇现货市场价格2635，较前日价格降5元/吨；广东地区甲醇现货市场价格2625/吨，较前日价格降5元/吨；鲁南地区甲醇现货市场价格2545元/吨，较前日价格涨45元/吨，河南地区甲醇现货市场价格2465元/吨，较前日价格涨40元/吨，河北地区甲醇市场现货价格2290元/吨，较前日价格稳定；关中地区现货市场价格2265元/吨，较前日价格涨15元/吨，蒙南地区甲醇现货市场价格2195元/吨，较前日价格涨75元/吨，陕北地区甲醇2215元/吨，较前日价格涨85元/吨。（数据来源：隆众资讯）太仓现货市场基差报价05+85，震荡，4月下纸货基差05+55，震荡。甲醇盘面近期反弹，今日略微有些回调。西北装置检修导致国产供应减少的逻辑开始占据上风，短期仍旧偏强态势，虽然港口进口供应预计环比增加，但这个逻辑已经在前期盘面反应。我们仍建议现货继续积极出货，把握出货窗口期，期货价格预计短期仍然偏强，中长期或许仍处于区间震荡态势，需要观察现货紧俏程度。可以考虑卖出看跌期权策略，套保单建议等待区间上沿再入场。
烧碱 1  烧碱周二，烧碱盘面大幅下跌，2405合约日内收于2354元/吨，夜盘弱势震荡。国内低浓度液碱市场大致平稳，局部下滑，江苏价格下跌20至830元/吨，主力下游需求刚需跟进，低浓度液碱库存维持在合理水平且利润有所回落。高浓度市场平稳为主，各区域外盘价格再度回落且询盘一般，市场洽谈空间扩大。液氯方面，液氯市场大稳小动，个别窄幅小推，目前下游需求尚可。华东供应端装置不稳，液氯商品量减少，企业挺价心态意向强烈，带动山东地区部分企业小幅拉涨。山东地区有主流下游企业采购积极性尚可，下游开工回暖，支撑液氯市场出货走量，17日价格提涨100。4月16日，山东氯碱利润442元/吨。（以上数据均来自隆众资讯）烧碱目前基本面变化不大，没有明显的方向驱动。低浓度碱价格下滑至低位后，继续下移的空间有限，山东主力下游刚需跟进，库存出现下降，预计低浓度液碱价格趋稳为主。高浓度碱外盘订单跟进力度有所放缓，华北、华东区域需求端采购节奏有所放缓，价格不排除有进一步下滑风险。液氯价格变动较为频繁，价格预期提涨，氯碱整体利润有所回落。基本面利多支撑有限，盘面空头加仓下行，烧碱基差有所走强但仍维持负值，而临近交割月，烧碱05合约开始逐步移仓远月，需关注后续主力合约换月对盘面的影响。
PVC -1  PVC根据隆众资讯数据：亚洲乙烯915-1010，西北电石2600-2600，乙烯价格平稳，电石价格小幅下跌。现货市场：国内PVC市场现货价格重心下移，华北地区电石法5型报价5500-5550，华东地区电石法5型报价5530-5600，华南地区电石法5型报价5620-5700，周二，PVC期货下跌收盘，主力盘中放量，期货短期震荡偏弱走势。成本端电石价格近期走弱，PVC装置开工回落，PVC社会库存维持高位，近期PVC出口和国内下游制品厂家开工一般，下游整体需求依然较弱，PVC装置检修对市场支撑有限，期货短期维持震荡偏弱走势，操作上保持谨慎。逻辑：成本端电石价格开始回落，PVC开工回落，社会库存维持高位，下游需求较差，期货震荡偏弱为主。
苯乙烯 0.8  苯乙烯苯乙烯基本面预期一般。供应上，中期苯乙烯周度产量料中等偏低水平运行。据隆众资讯报道，截至4月11日中国苯乙烯工厂整体产量在29.34万吨，较上期涨1.78万吨，环比涨6.46%；工厂产能利用率67.36%，环比涨4.08%。后续在4月中旬至5月中旬前后利华益、古雷石化等国内苯乙烯行业装置检修与重启并存，预计在未有更多大装置计划外变动的情况下，国内苯乙烯周度产量将维持在28-29万吨附近。需求层面，近期苯乙烯下游EPS行业利润尚可部分装置重启，EPS行业产量短期将有增多，而ABS和PS行业利润近期虽有修复但依然偏低，或拖累苯乙烯需求回暖情况。纯苯对苯乙烯价格成本支撑性一般。从隆众资讯公布的数据及信息来看，截至4月12日国内纯苯行业周度产量为38.5万吨，而至5月中旬前纯苯行业装置计划检修数量较多，预计国内纯苯周度产量将总体于低位有保持。需求上，下游苯乙烯行业产量增长不及预期，苯酚、己内酰胺行业部分装置预期检修，纯苯市场需求回升受到影响。综合来说，当前苯乙烯行业利润得到一定修复，原油及纯苯因素更多是对苯乙烯价格带来底部支撑，而在苯乙烯自身基本面一般和EB2405合约周线级别MACD指标出现顶背离形态的情况下，预计短期苯乙烯价格料有回调整理。后续还需关注地缘因素，若原油抬升，则将带动苯乙烯价格上涨。
碳酸锂 -1  碳酸锂4月16日，碳酸锂期货下跌幅度较大，价格运行区间106850-111650元/吨，至收盘，主力合约LC2407报108150元/吨下跌4250或3.78%，收实体阴线。16日SMM电池级碳酸锂平均价111500元/吨跌1250，电工碳价差缩小至3000元以内。基本面无明显波澜：当日现货市场无明显变化，反而近日不断有新型电池加速研发试产、以旧换新带动需求等利好需求的基本面消息放出。今日价格快速回落，一方面是进入4月下旬，前期市场关注的环保督察影响日渐式微，另一方面5月需求端排产虽环比上涨，但涨幅下修，低于预期。江西环保督察带来的上游减停产曾一度推升锂价。据SMM调研，江西地区近期产量确实有所影响，但青海地区随着气温回升产出增加，四川地区开始有产能上量，可以减少因江西减产而缺失的产出。碳酸锂迈入短期供应干扰与中长期供给宽松的深度博弈，市场对当前价格的分歧加重，预计近期行情将维持宽幅波动。上游的减停产、下游新能源汽车多品牌热卖带来的利多情绪推动了近几日期货盘面的上行，4月份适逢消费旺季，不断走低的新能源汽车价格叠加促进消费政策的频繁发布与落地增强了市场信心。但整体来看，2024年供给增量仍然明显，不宜过分看高该品种中长期价格。操作建议上，空单持有。
工业硅 -0.8  工业硅4月16日，工业硅现货价格稳定。据SMM网统计，华东现价方面，不通氧553#硅13050元/吨，通氧553#硅13300元/吨，421#硅14150元/吨；工业硅主力合约开盘于12170元/吨，最高12180元/吨，最低11950元/吨，收于11955元/吨，较前一交易日涨跌幅为-1.6%。供给预计维持宽松格局。展望2季度，预计西北地区产量保持稳定，且有新产能投放的增量。西南地区进入平水期，部分当地硅厂复工复产。4月除怒江地区在政府要求和电价补贴下，预计复产6台12500KVA炉子，预计开工率将小幅上升。工业硅需求有转弱迹象。后续看来，多晶硅方面，光伏终端保持景气，但难改硅片和多晶硅硅料供应过剩格局。有机硅方面，下游补库结束，单体厂逐渐复工，有机硅价格开始下跌，大部分有机硅厂再度陷入亏损局面。铝合金方面，铝合金市场平淡，铝合金价格震荡，部分厂家库存出现积累，市场供货量增加，致使价格下跌。整体看来，近期工业硅期货跌跌不休，现货市场表现较为悲观，下游采购观望心态浓厚，也进一步加剧价格的负反馈。观后市，工业硅整体供应大于需求，工业硅或将继续累库，硅价存上涨压力。预计硅价在12000-13000元/吨区间震荡运行，建议区间内逢高做空，空单可继续持有，并设定好止盈止损。
豆粕 -0.5  油脂油料油脂：周二内盘油脂延续跌势，我的农产品网数据显示，截至上周三大油脂周度总库存总体下降，但远月供给增加的预期令油脂走势疲软；此外，随着对中东地缘政治风险担忧的缓解亦拖累油脂行情。MPOB3月供需数据较预期略偏多，马棕3月底库存的继续回落反映了斋月期间产量恢复的滞后以及出口需求的改善。随着开斋节的结束，近期产地报价伴随季节性增产的开启有所松动，国内新增棕榈油买船对盘面上涨动能带来压制，继续关注马棕产量、出口情况及国内买船。豆粕：美豆春播天气良好，叠加出口需求担忧施压CBOT大豆走势。3月中下旬以来进口大豆到港量较少，国内油厂开机率下降，3月份国内豆粕库存持续下降；但随着大豆集中到港预期增加，油厂压榨供应或逐渐增加。据国家粮油信息中心数据显示，4月中下旬南美大豆将加快到港，预计4月累计到港1000万吨，5月1150万吨，6月1100万吨，国内豆粕库存预期累积，重点关注实际到港、压榨节奏及豆粕累库情况。观点与建议：中长期来看，随着产地棕榈油逐步进入产量恢复阶段，外加南美大豆收割的持续推进，油粕价格仍将面临供给压力。关注宏观市场情绪变动及国外成本端压力向国内传导的过程和节奏。
豆油 -0.5  油脂油料油脂：周二内盘油脂延续跌势，我的农产品网数据显示，截至上周三大油脂周度总库存总体下降，但远月供给增加的预期令油脂走势疲软；此外，随着对中东地缘政治风险担忧的缓解亦拖累油脂行情。MPOB3月供需数据较预期略偏多，马棕3月底库存的继续回落反映了斋月期间产量恢复的滞后以及出口需求的改善。随着开斋节的结束，近期产地报价伴随季节性增产的开启有所松动，国内新增棕榈油买船对盘面上涨动能带来压制，继续关注马棕产量、出口情况及国内买船。豆粕：美豆春播天气良好，叠加出口需求担忧施压CBOT大豆走势。3月中下旬以来进口大豆到港量较少，国内油厂开机率下降，3月份国内豆粕库存持续下降；但随着大豆集中到港预期增加，油厂压榨供应或逐渐增加。据国家粮油信息中心数据显示，4月中下旬南美大豆将加快到港，预计4月累计到港1000万吨，5月1150万吨，6月1100万吨，国内豆粕库存预期累积，重点关注实际到港、压榨节奏及豆粕累库情况。观点与建议：中长期来看，随着产地棕榈油逐步进入产量恢复阶段，外加南美大豆收割的持续推进，油粕价格仍将面临供给压力。关注宏观市场情绪变动及国外成本端压力向国内传导的过程和节奏。
菜油 -0.5  油脂油料油脂：周二内盘油脂延续跌势，我的农产品网数据显示，截至上周三大油脂周度总库存总体下降，但远月供给增加的预期令油脂走势疲软；此外，随着对中东地缘政治风险担忧的缓解亦拖累油脂行情。MPOB3月供需数据较预期略偏多，马棕3月底库存的继续回落反映了斋月期间产量恢复的滞后以及出口需求的改善。随着开斋节的结束，近期产地报价伴随季节性增产的开启有所松动，国内新增棕榈油买船对盘面上涨动能带来压制，继续关注马棕产量、出口情况及国内买船。豆粕：美豆春播天气良好，叠加出口需求担忧施压CBOT大豆走势。3月中下旬以来进口大豆到港量较少，国内油厂开机率下降，3月份国内豆粕库存持续下降；但随着大豆集中到港预期增加，油厂压榨供应或逐渐增加。据国家粮油信息中心数据显示，4月中下旬南美大豆将加快到港，预计4月累计到港1000万吨，5月1150万吨，6月1100万吨，国内豆粕库存预期累积，重点关注实际到港、压榨节奏及豆粕累库情况。观点与建议：中长期来看，随着产地棕榈油逐步进入产量恢复阶段，外加南美大豆收割的持续推进，油粕价格仍将面临供给压力。关注宏观市场情绪变动及国外成本端压力向国内传导的过程和节奏。
棕榈油 -0.5  油脂油料油脂：周二内盘油脂延续跌势，我的农产品网数据显示，截至上周三大油脂周度总库存总体下降，但远月供给增加的预期令油脂走势疲软；此外，随着对中东地缘政治风险担忧的缓解亦拖累油脂行情。MPOB3月供需数据较预期略偏多，马棕3月底库存的继续回落反映了斋月期间产量恢复的滞后以及出口需求的改善。随着开斋节的结束，近期产地报价伴随季节性增产的开启有所松动，国内新增棕榈油买船对盘面上涨动能带来压制，继续关注马棕产量、出口情况及国内买船。豆粕：美豆春播天气良好，叠加出口需求担忧施压CBOT大豆走势。3月中下旬以来进口大豆到港量较少，国内油厂开机率下降，3月份国内豆粕库存持续下降；但随着大豆集中到港预期增加，油厂压榨供应或逐渐增加。据国家粮油信息中心数据显示，4月中下旬南美大豆将加快到港，预计4月累计到港1000万吨，5月1150万吨，6月1100万吨，国内豆粕库存预期累积，重点关注实际到港、压榨节奏及豆粕累库情况。观点与建议：中长期来看，随着产地棕榈油逐步进入产量恢复阶段，外加南美大豆收割的持续推进，油粕价格仍将面临供给压力。关注宏观市场情绪变动及国外成本端压力向国内传导的过程和节奏。
合成橡胶 0  合成胶根据隆众资讯：外盘丁二烯价格平稳，CFR中国1450美元/吨，FOB韩国1430美元/吨；山东市场丁二烯11600元/吨；丁二烯主流出厂价在11300-11500元/吨。现货市场：华北地区顺丁BR9000报价13200-13300，华东地区顺丁BR9000报价在13100-13300，市场顺丁胶价格重心下移。周二，合成胶期货下跌收盘，主力盘中小幅放量，期货震荡偏弱走势。目前成本端丁二烯价格依然处于高位，但随着部分前期检修装置近期重启，丁二烯后期供应预期增加。近期顺丁装置开工走弱，石油石化厂家周末下调顺丁出厂报价，下现货市场高价成交困难，合成胶近期大幅波动，但受成本支撑影响，期货短期向下空间不大，但后期成本端压力或有所增加，操作仍需谨慎。逻辑：国内丁二烯检修装置陆续重启，丁二烯供应预期增加，合成短期成本支撑仍存，但中长期成本压力或加大，操作保持谨慎。
